sample_id,cc.min.diff
LS-15523_S76_E1-50,0.523085965
LS-15523_S77_E1-50,0.457360639
LS-15523_S83_E1-50,0.453694569
LS-15523_S87_E1-50,0.675343922
LS-15527_S01_E1-50,0.598304716
LS-15527_S06_E1-50,0.451313788
LS-15527_S09_E1-50,0.298292622
LS-15527_S12_E1-50,0.481209614
LS-15527_S13_E1-50,0.680183081
LS-15527_S19_E1-50,0.371205704
LS-15527_S20_E1-50,0.392221468
LS-15527_S33_E1-50,0.379391396
LS-15527_S36_E1-50,0.404701513
LS-15527_S37_E1-50,0.498624356
LS-15527_S39_E1-50,0.252512998
LS-15527_S46_E1-50,0.574624702
LS-15527_S47_E1-50,0.292118494
LS-15527_S49_E1-50,0.623887953
LS-15527_S50_E1-50,0.585628547
LS-15527_S53_E1-50,0.396416355
LS-15527_S62_E1-50,0.448412898
LS-15527_S65_E1-50,0.209016463
LS-15527_S74_E1-50,0.614150267
LS-15527_S83_E1-50,0.813860453
LS-15527_S89_E1-50,0.54509718
LS-15527_S90_E1-50,0.503948948
LS-15527_S91_E1-50,0.60067733
LS-15528_S03_E1-50,0.525796281
LS-15528_S04_E1-50,0.054542164
LS-15528_S06_E1-50,0.196043185
LS-15528_S07_E1-50,0.408240326
LS-15528_S09_E1-50,0.531161105
LS-15528_S10_E1-50,0.739914411
LS-15528_S11_E1-50,0.378930276
LS-15528_S14_E1-50,0.524091886
LS-15528_S15_E1-50,0.399125985
LS-15528_S18_E1-50,0.356824911
LS-15528_S19_E1-50,0.806893477
LS-15528_S20_E1-50,0.338723285
LS-15528_S22_E1-50,0.291689884
LS-15528_S23_E1-50,0.391336791
LS-15528_S26_E1-50,0.789728184
LS-15528_S27_E1-50,0.131511905
LS-15528_S30_E1-50,0.141877375
LS-15528_S43_E1-50,0.394229839
LS-15528_S63_E1-50,0.447185627
LS-15528_S65_E1-50,0.111533509
LS-15528_S70_E1-50,0.863061298
LS-15528_S83_E1-50,0.433025695
LS-15528_S93_E1-50,0.618359819
LS-15528_S94_E1-50,0.27795728
LS-15529_S02_E1-50,0.275293217
LS-15529_S07_E1-50,0.557423835
LS-15529_S20_E1-50,0.481712429
LS-15529_S27_E1-50,0.471659744
LS-15529_S34_E1-50,0.432091799
LS-15529_S36_E1-50,0.261907922
LS-15529_S55_E1-50,0.326779474
LS-15529_S61_E1-50,0.495019462
LS-15529_S68_E1-50,0.297312726
LS-15529_S71_E1-50,0.411279787
LS-15529_S78_E1-50,0.818375004
LS-15529_S81_E1-50,0.214955297
LS-15529_S84_E1-50,0.229983001
LS-15529_S93_E1-50,0.778272218
LS-15529_S94_E1-50,0.751891858
LS-15530_S02_E1-50,0.561762581
LS-15530_S03_E1-50,0.345900398
LS-15530_S06_E1-50,0.207154432
LS-15530_S07_E1-50,0.332158376
LS-15530_S09_E1-50,0.299436522
LS-15530_S14_E1-50,0.508684119
LS-15530_S22_E1-50,0.736286658
LS-15530_S27_E1-50,0.612065622
LS-15530_S31_E1-50,0.483489904
LS-15530_S36_E1-50,0.840153419
LS-15530_S37_E1-50,0.716337648
LS-15530_S42_E1-50,0.374657968
LS-15530_S61_E1-50,0.530575485
LS-15530_S67_E1-50,0.520845525
LS-15530_S83_E1-50,0.001840392
LS-15530_S84_E1-50,0.45184082
LS-15530_S92_E1-50,0.883668045
LS-15531_S04_E1-50,0.636518524
LS-15531_S10_E1-50,0.442515108
LS-15531_S11_E1-50,0.190953632
LS-15531_S13_E1-50,0.604490013
LS-15531_S15_E1-50,0.312820079
LS-15531_S18_E1-50,0.211296355
LS-15531_S19_E1-50,0.316520263
LS-15531_S20_E1-50,0.572028317
LS-15531_S21_E1-50,0.628522399
LS-15531_S25_E1-50,0.566326045
LS-15531_S27_E1-50,0.430161931
