sample_name,exp_component_name,cl.sep,PE-A Mean,FSC-A Mean,SSC-A Mean,DAPI-A Mean,cluster,cluster_type
F1S4_170117_097_E01,SM-D9CZ9_S85_E1-50,0.467058565,3457,62581,10289,10137,Inh L5-6 SST MIR548F2,inh
F1S4_170118_132_D01,SM-D9CZR_S36_E1-50,0.547496975,1174,49462,6365,8861,Inh L5-6 SST MIR548F2,inh
F1S4_170118_149_E01,SM-D9D73_S29_E1-50,0.536118703,842,56309,11234,9406,Inh L5-6 SST MIR548F2,inh
F1S4_170125_121_C01,SM-D9D75_S03_E1-50,0.530644583,NA,NA,NA,NA,Inh L5-6 SST MIR548F2,inh
F1S4_170215_137_G01,SM-D9EQG_S23_E1-50,0.519090923,619,29911,8027,10593,Inh L5-6 SST MIR548F2,inh
F1S4_170215_145_F01,SM-D9E6N_S14_E1-50,0.456200902,1115,23341,7625,11516,Inh L5-6 SST MIR548F2,inh
F1S4_170215_154_G01,SM-D9E6Q_S15_E1-50,0.541745904,2532,54145,17545,10276,Inh L5-6 SST MIR548F2,inh
F1S4_170222_020_C01,SM-D9D7U_S27_E1-50,0.47066887,1649,57496,10413,10501,Inh L5-6 SST MIR548F2,inh
F1S4_170222_048_C01,SM-D9D74_S83_E1-50,0.480298713,886,39802,16129,9571,Inh L5-6 SST MIR548F2,inh
F1S4_170419_041_H01,SM-D9EQ5_S40_E1-50,0.474397024,1598,21231,4127,5464,Inh L5-6 SST MIR548F2,inh
F1S4_170118_003_C01,SM-D9D7R_S19_E1-50,0.589879506,1751,48778,11808,10479,Inh L1-2 VIP LBH,inh
F1S4_170125_004_B01,SM-D9D12_S10_E1-50,0.591245461,2128,54460,18808,9502,Inh L1-2 VIP LBH,inh
F1S4_170125_009_C01,SM-D9CZS_S75_E1-50,0.601751394,NA,NA,NA,NA,Inh L1-2 VIP LBH,inh
F1S4_170125_098_G01,SM-D9D6W_S47_E1-50,0.557837751,2691,73222,8837,9885,Inh L1-2 VIP LBH,inh
F1S4_170321_002_E01,SM-D9D8W_S13_E1-50,0.565696564,1230,59465,17116,5104,Inh L1-2 VIP LBH,inh
F1S4_170321_011_E01,SM-D9D8Z_S05_E1-50,0.570734542,2364,47942,14623,5247,Inh L1-2 VIP LBH,inh
F1S4_170321_016_C01,SM-D9D91_S11_E1-50,0.552361159,2911,50936,21372,5836,Inh L1-2 VIP LBH,inh
F1S4_170321_025_G01,SM-D9D94_S15_E1-50,0.551920569,1694,48935,12611,6660,Inh L1-2 VIP LBH,inh
F1S4_170321_034_E01,SM-D9D9F_S05_E1-50,0.57769743,2148,48268,12672,6550,Inh L1-2 VIP LBH,inh
F1S4_170413_129_F01,SM-D9E5Y_S54_E1-50,0.570297117,NA,NA,NA,NA,Inh L1-2 VIP LBH,inh
F1S4_170118_135_G01,SM-D9CZU_S55_E1-50,0.785550422,1978,64923,10109,8788,Inh L4-6 SST GXYLT2,inh
F1S4_170118_144_B01,SM-D9CZX_S74_E1-50,0.744621369,2298,58389,11400,9315,Inh L4-6 SST GXYLT2,inh
F1S4_170118_153_B01,SM-D9D15_S34_E1-50,0.69753878,1324,61775,8771,9330,Inh L4-6 SST GXYLT2,inh
F1S4_170125_093_A01,SM-D9D6T_S25_E1-50,0.685537032,2443,59688,8815,9742,Inh L4-6 SST GXYLT2,inh
F1S4_170125_114_G01,SM-D9D6Y_S71_E1-50,0.709712434,NA,NA,NA,NA,Inh L4-6 SST GXYLT2,inh
F1S4_170215_143_C01,SM-D9E6M_S27_E1-50,0.659886399,1632,63725,14816,11546,Inh L4-6 SST GXYLT2,inh
F1S4_170215_152_C01,SM-D9E6P_S27_E1-50,0.712137553,2471,73199,20937,10155,Inh L4-6 SST GXYLT2,inh
F1S4_170419_035_E01,SM-D9EQ7_S45_E1-50,0.73578016,1912,28919,4957,5221,Inh L4-6 SST GXYLT2,inh
F1S4_170125_016_B01,SM-D9D12_S18_E1-50,0.42835262,1059,51316,12847,8821,Inh L2-3 VIP CASC6,inh
F1S4_170125_023_E01,SM-D9D6P_S29_E1-50,0.312128951,1278,47194,13584,8807,Inh L2-3 VIP CASC6,inh
F1S4_170125_067_E01,SM-D9D7E_S29_E1-50,0.391252395,2775,52475,13059,10012,Inh L2-3 VIP CASC6,inh
F1S4_170321_039_C01,SM-D9D8V_S11_E1-50,0.517866012,4013,59599,19246,4678,Inh L2-3 VIP CASC6,inh
F1S4_170322_012_E01,SM-D9D8U_S45_E1-50,0.475834415,2555,74615,33083,4316,Inh L2-3 VIP CASC6,inh
F1S4_170323_053_C01,SM-D9E5H_S43_E1-50,0.494186569,3612,46915,18023,5154,Inh L2-3 VIP CASC6,inh
F1S4_170117_038_D01,SM-D9D6V_S04_E1-50,0.316899934,2829,27328,10493,10232,Inh L1-4 VIP OPRM1,inh
F1S4_170117_052_G01,SM-D9D6Z_S23_E1-50,0.394543256,2050,73089,15303,11363,Inh L1-4 VIP OPRM1,inh
F1S4_170125_016_F01,SM-D9D12_S22_E1-50,0.381617944,1024,50430,10645,8791,Inh L1-4 VIP OPRM1,inh
F1S4_170125_064_C01,SM-D9D7D_S19_E1-50,0.390820019,2007,52136,10194,8842,Inh L1-4 VIP OPRM1,inh
F1S4_170125_070_D01,SM-D9D7H_S04_E1-50,0.367333257,956,42418,11511,8510,Inh L1-4 VIP OPRM1,inh
F1S4_170419_032_G01,SM-D9E5Z_S79_E1-50,0.412346932,1001,22937,5110,5058,Inh L1-4 VIP OPRM1,inh
F1S4_170125_016_D01,SM-D9D12_S20_E1-50,0.258638655,2011,52957,9423,8762,Inh L2-4 VIP SPAG17,inh
F1S4_170125_068_A01,SM-D9D7F_S01_E1-50,0.296159121,1997,60263,11064,8967,Inh L2-4 VIP SPAG17,inh
F1S4_170207_050_E01,SM-D9D7K_S77_E1-50,0.332136902,742,43070,8453,9527,Inh L2-4 VIP SPAG17,inh
F1S4_170215_071_C01,SM-D9D6S_S91_E1-50,0.318713086,957,29930,9351,9283,Inh L2-4 VIP SPAG17,inh
F1S4_170222_088_D01,SM-D9D7T_S44_E1-50,0.317530736,1912,73117,19589,12713,Inh L2-4 VIP SPAG17,inh
F1S4_170117_046_C01,SM-D9D6X_S19_E1-50,0.27639923,7990,118147,19798,13031,Inh L1-3 VIP CCDC184,inh
F1S4_170117_050_G01,SM-D9D6Z_S07_E1-50,0.33817967,3989,73724,15410,8694,Inh L1-3 VIP CCDC184,inh
F1S4_170118_008_C01,SM-D9CZA_S91_E1-50,0.282749035,1059,45800,11623,9673,Inh L1-3 VIP CCDC184,inh
F1S4_170125_011_E01,SM-D9CZY_S37_E1-50,0.321922929,2541,79707,15700,9308,Inh L1-3 VIP CCDC184,inh
F1S4_170125_039_F01,SM-D9D6X_S38_E1-50,0.406036828,2371,54412,13808,9327,Inh L1-3 VIP CCDC184,inh
F1S4_170207_050_B01,SM-D9D7K_S74_E1-50,0.321821405,2249,54224,14965,9153,Inh L1-3 VIP CCDC184,inh
F1S4_170322_011_C01,SM-D9D8U_S35_E1-50,0.513872908,NA,NA,NA,NA,Inh L1-3 VIP CCDC184,inh
F1S4_170406_114_D01,SM-D9E4L_S76_E1-50,0.354138017,1597,33481,6977,4136,Inh L1-3 VIP CCDC184,inh
F1S4_170117_050_D01,SM-D9D6Z_S04_E1-50,0.854118562,1871,46467,12548,9505,Inh L2-5 PVALB SCUBE3,inh
F1S4_170125_013_B01,SM-D9CZZ_S18_E1-50,0.75288593,486,48103,13913,8751,Inh L2-5 PVALB SCUBE3,inh
F1S4_170125_025_B01,SM-D9D6P_S42_E1-50,0.897290551,2233,71539,11542,9530,Inh L2-5 PVALB SCUBE3,inh
F1S4_170125_025_F01,SM-D9D6P_S46_E1-50,0.793265727,2054,55416,12645,9157,Inh L2-5 PVALB SCUBE3,inh
F1S4_170125_058_F01,SM-D9D79_S14_E1-50,0.823626336,2054,36133,10628,8866,Inh L2-5 PVALB SCUBE3,inh
F1S4_170207_031_A01,SM-D9D8M_S25_E1-50,0.809362666,1963,46217,10300,8337,Inh L2-5 PVALB SCUBE3,inh
F1S4_170215_146_E01,SM-D9E6N_S21_E1-50,0.788997275,615,37812,8543,11036,Inh L2-5 PVALB SCUBE3,inh
F1S4_170222_097_H01,SM-D9D7Z_S40_E1-50,0.769431904,139,59243,16030,9359,Inh L2-5 PVALB SCUBE3,inh
F1S4_170323_044_G01,SM-D9E4P_S23_E1-50,0.81478844,1263,35990,11326,4729,Inh L2-5 PVALB SCUBE3,inh
F1S4_170117_001_D01,SM-D9CZ8_S84_E1-50,0.553235242,3268,72949,20935,11536,Inh L1-3 PAX6 SYT6,inh
F1S4_170302_035_E01,SM-D9D81_S53_E1-50,0.347575219,1189,60152,22533,8088,Inh L1-3 PAX6 SYT6,inh
F1S4_170321_003_F01,SM-D9D8X_S06_E1-50,0.514810783,5684,66529,36217,5431,Inh L1-3 PAX6 SYT6,inh
F1S4_170321_006_D01,SM-D9D8X_S28_E1-50,0.564838109,2402,51557,15310,4992,Inh L1-3 PAX6 SYT6,inh
F1S4_170321_068_D01,SM-D9E57_S20_E1-50,0.513440103,3192,75146,23829,5546,Inh L1-3 PAX6 SYT6,inh
F1S4_170118_146_E01,SM-D9CZX_S93_E1-50,0.873751161,2180,54083,8674,8938,Inh L2-6 LAMP5 CA1,inh
F1S4_170125_024_G01,SM-D9D6P_S39_E1-50,0.867633855,1359,50098,8025,8486,Inh L2-6 LAMP5 CA1,inh
F1S4_170125_085_F01,SM-D9D17_S62_E1-50,0.869939306,1695,67511,14047,8730,Inh L2-6 LAMP5 CA1,inh
F1S4_170125_094_B01,SM-D9D6T_S34_E1-50,0.881824448,1513,46765,15873,9632,Inh L2-6 LAMP5 CA1,inh
F1S4_170321_071_B01,SM-D9E58_S18_E1-50,0.869494367,6424,55054,23768,5542,Inh L2-6 LAMP5 CA1,inh
F1S4_170323_144_G01,SM-D9E5K_S23_E1-50,0.872205209,3369,43129,11044,4717,Inh L2-6 LAMP5 CA1,inh
F1S4_170406_120_D01,SM-D9E57_S92_E1-50,0.873902886,2437,46255,10534,4702,Inh L2-6 LAMP5 CA1,inh
F1S4_170118_109_F01,SM-D9CZU_S30_E1-50,0.814071102,2155,63818,16651,10797,Inh L5-6 SST TH,inh
F1S4_170118_142_F01,SM-D9CZW_S70_E1-50,0.855400721,2263,48881,10450,9044,Inh L5-6 SST TH,inh
F1S4_170419_056_G01,SM-D9EQ1_S39_E1-50,0.841252088,2223,23091,5814,6127,Inh L5-6 SST TH,inh
F1S4_170118_133_G01,SM-D9CZR_S47_E1-50,0.88426585,755,67188,13476,9064,Inh L5-6 GAD1 GLP1R,inh
F1S4_170118_136_F01,SM-D9CZU_S62_E1-50,0.862367134,993,47878,8875,8437,Inh L5-6 GAD1 GLP1R,inh
F1S4_170118_137_A01,SM-D9CZU_S65_E1-50,0.862113831,1103,48090,10239,8759,Inh L5-6 GAD1 GLP1R,inh
F1S4_170118_153_F01,SM-D9D15_S38_E1-50,0.866553818,461,30923,5573,8434,Inh L5-6 GAD1 GLP1R,inh
F1S4_170125_112_B01,SM-D9D6Y_S50_E1-50,0.887048446,NA,NA,NA,NA,Inh L5-6 GAD1 GLP1R,inh
F1S4_170215_140_G01,SM-D9E6L_S23_E1-50,0.794170348,464,33258,9566,10145,Inh L5-6 GAD1 GLP1R,inh
F1S4_170215_158_A01,SM-D9E5Z_S17_E1-50,0.888912355,512,21870,8394,9560,Inh L5-6 GAD1 GLP1R,inh
F1S4_170419_058_F01,SM-D9EQ1_S54_E1-50,0.8270154,2133,17756,4672,5901,Inh L5-6 GAD1 GLP1R,inh
F1S4_170207_054_F01,SM-D9CZV_S78_E1-50,0.6962211,3492,54516,16197,9167,Inh L1-4 VIP CHRNA6,inh
F1S4_170222_092_D01,SM-D9D7U_S60_E1-50,0.626357128,1515,37125,13819,9711,Inh L1-4 VIP CHRNA6,inh
F1S4_170321_019_D01,SM-D9D92_S04_E1-50,0.680335496,1659,49841,14767,6213,Inh L1-4 VIP CHRNA6,inh
F1S4_170118_140_B01,SM-D9CZV_S66_E1-50,0.548125914,1230,36835,6533,8781,Inh L2-6 VIP QPCT,inh
F1S4_170118_141_G01,SM-D9CZW_S63_E1-50,0.62271579,1080,56996,13810,8845,Inh L2-6 VIP QPCT,inh
F1S4_170125_097_C01,SM-D9D6V_S67_E1-50,0.611793753,2220,40547,11998,9383,Inh L2-6 VIP QPCT,inh
F1S4_170207_037_D01,SM-D9D8N_S36_E1-50,0.522044896,1282,41929,10405,8986,Inh L2-6 VIP QPCT,inh
F1S4_170215_128_C01,SM-D9E5I_S11_E1-50,0.593432363,606,55112,9977,10307,Inh L2-6 VIP QPCT,inh
F1S4_170215_140_D01,SM-D9E6L_S20_E1-50,0.590339641,658,39581,10256,9967,Inh L2-6 VIP QPCT,inh
F1S4_170215_149_D01,SM-D9E6O_S28_E1-50,0.555878749,NA,NA,NA,NA,Inh L2-6 VIP QPCT,inh
F1S4_170215_156_A01,SM-D9E6Q_S33_E1-50,0.473788438,NA,NA,NA,NA,Inh L2-6 VIP QPCT,inh
F1S4_170302_097_B01,SM-D9D89_S42_E1-50,0.458328101,NA,58600,8545,7437,Inh L2-6 VIP QPCT,inh
F1S4_170419_045_G01,SM-D9EQ4_S39_E1-50,0.574753489,671,19771,4831,5374,Inh L2-6 VIP QPCT,inh
F1S4_170321_018_B01,SM-D9D91_S26_E1-50,0.721139051,1362,49290,10227,5234,Inh L1-2 PAX6 TNFAIP8L3,inh
F1S4_170321_018_D01,SM-D9D91_S28_E1-50,0.750127141,1277,43580,16596,5671,Inh L1-2 PAX6 TNFAIP8L3,inh
F1S4_170321_029_C01,SM-D9D96_S03_E1-50,0.744065255,1364,54953,10676,6337,Inh L1-2 PAX6 TNFAIP8L3,inh
F1S4_170321_032_E01,SM-D9D97_S13_E1-50,0.790140383,2645,47477,9001,6466,Inh L1-2 PAX6 TNFAIP8L3,inh
F1S4_170322_002_E01,SM-D9D8T_S37_E1-50,0.80029504,2611,84926,39334,5583,Inh L1-2 PAX6 TNFAIP8L3,inh
F1S4_170322_008_D01,SM-D9D8W_S76_E1-50,0.725428792,1620,53182,17050,4010,Inh L1-2 PAX6 TNFAIP8L3,inh
F1S4_170413_127_E01,SM-D9E5Y_S37_E1-50,0.757231862,NA,NA,NA,NA,Inh L1-2 PAX6 TNFAIP8L3,inh
F1S4_170321_009_A01,SM-D9D8Y_S17_E1-50,0.713190029,2458,71763,20285,4952,Inh L1-4 VIP PENK,inh
F1S4_170118_121_G01,SM-D9CZU_S23_E1-50,0.323940372,938,62230,12755,10564,Inh L4-6 PVALB SULF1,inh
F1S4_170118_146_A01,SM-D9CZX_S89_E1-50,0.321744824,1226,37875,9220,9142,Inh L4-6 PVALB SULF1,inh
F1S4_170118_154_E01,SM-D9D15_S45_E1-50,0.344975683,773,43675,5788,8872,Inh L4-6 PVALB SULF1,inh
F1S4_170125_096_A01,SM-D9D6V_S49_E1-50,0.337142803,2261,48095,12134,8898,Inh L4-6 PVALB SULF1,inh
F1S4_170125_115_B01,SM-D9D6Z_S26_E1-50,0.32532466,NA,NA,NA,NA,Inh L4-6 PVALB SULF1,inh
F1S4_170125_122_A01,SM-D9D75_S09_E1-50,0.321546163,NA,NA,NA,NA,Inh L4-6 PVALB SULF1,inh
F1S4_170215_101_D01,SM-D9D7F_S92_E1-50,0.365798975,642,27531,8216,9518,Inh L4-6 PVALB SULF1,inh
F1S4_170215_138_B01,SM-D9E6L_S02_E1-50,0.330556659,835,28999,7186,11131,Inh L4-6 PVALB SULF1,inh
F1S4_170222_049_D01,SM-D9D74_S92_E1-50,0.332562698,4017,106028,22430,10104,Inh L4-6 PVALB SULF1,inh
F1S4_170323_061_G01,SM-D9D8U_S87_E1-50,0.329086604,1210,42559,14134,4576,Inh L4-6 PVALB SULF1,inh
F1S4_170419_047_E01,SM-D9EQ3_S21_E1-50,0.308476628,996,15605,3621,5340,Inh L3-6 SST NPY,inh
F1S4_170125_012_B01,SM-D9CZZ_S10_E1-50,0.495144957,1011,53170,14001,9134,Exc L2 LAMP5 LTK,exc
F1S4_170125_039_G01,SM-D9D6X_S39_E1-50,0.50243243,717,53694,8015,8978,Exc L2 LAMP5 LTK,exc
F1S4_170207_020_E01,SM-D9D8A_S21_E1-50,0.498153407,1504,45874,13738,8701,Exc L2 LAMP5 LTK,exc
F1S4_170207_022_G01,SM-D9D8B_S23_E1-50,0.516008954,875,39431,8095,8899,Exc L2 LAMP5 LTK,exc
F1S4_170207_028_A01,SM-D9D8M_S01_E1-50,0.494242392,4039,58555,14464,9049,Exc L2 LAMP5 LTK,exc
F1S4_170215_006_B01,SM-D9D7D_S82_E1-50,0.508105629,795,59014,10898,9850,Exc L2 LAMP5 LTK,exc
F1S4_170323_024_F01,SM-D9D8T_S78_E1-50,0.497903644,1807,52357,7825,5807,Exc L2 LAMP5 LTK,exc
F1S4_170413_129_B01,SM-D9E5Y_S50_E1-50,0.519730569,1605,39343,13820,3421,Exc L2 LAMP5 LTK,exc
F1S4_170125_044_F01,SM-D9CZS_S94_E1-50,0.37764788,NA,NA,NA,NA,Exc L2-4 LINC00507 GLP2R,exc
F1S4_170207_028_C01,SM-D9D8M_S03_E1-50,0.342556564,1802,54698,22042,8998,Exc L2-4 LINC00507 GLP2R,exc
F1S4_170222_110_E01,SM-D9D83_S53_E1-50,0.37171563,2634,50027,17072,9891,Exc L2-4 LINC00507 GLP2R,exc
F1S4_170321_058_G01,SM-D9D91_S55_E1-50,0.336768805,2868,48791,22128,5279,Exc L2-4 LINC00507 GLP2R,exc
F1S4_170322_019_F01,SM-D9D8V_S54_E1-50,0.370087872,NA,NA,NA,NA,Exc L2-4 LINC00507 GLP2R,exc
F1S4_170323_040_A01,SM-D9E4N_S33_E1-50,0.320273802,3841,38771,8814,4441,Exc L2-4 LINC00507 GLP2R,exc
F1S4_170323_053_E01,SM-D9E5H_S45_E1-50,0.360466956,3693,27164,9608,5248,Exc L2-4 LINC00507 GLP2R,exc
F1S4_170117_066_A01,SM-D9CZX_S33_E1-50,0.381797771,1176,43201,11468,9238,Exc L2-3 LINC00507 FREM3,exc
F1S4_170125_055_C01,SM-D9D6S_S27_E1-50,0.412836543,3018,58187,10119,9195,Exc L2-3 LINC00507 FREM3,exc
F1S4_170222_096_D01,SM-D9D7Z_S28_E1-50,0.380477783,5106,45978,12588,12012,Exc L2-3 LINC00507 FREM3,exc
F1S4_170302_037_C01,SM-D9D82_S59_E1-50,0.380000543,NA,109394,26849,8959,Exc L2-3 LINC00507 FREM3,exc
F1S4_170322_015_B01,SM-D9D8T_S42_E1-50,0.370685929,NA,NA,NA,NA,Exc L2-3 LINC00507 FREM3,exc
F1S4_170322_015_G01,SM-D9D8T_S47_E1-50,0.389259381,NA,NA,NA,NA,Exc L2-3 LINC00507 FREM3,exc
F1S4_170118_105_F01,SM-D9CZN_S70_E1-50,0.4567011,2656,48577,11301,10785,Exc L3-5 RORB ESR1,exc
F1S4_170118_123_A01,SM-D9D15_S01_E1-50,0.471951716,3138,67658,14027,10604,Exc L3-5 RORB ESR1,exc
F1S4_170302_076_G01,SM-D9D7S_S71_E1-50,0.457831546,NA,74787,12278,8235,Exc L3-5 RORB ESR1,exc
F1S4_170302_084_F01,SM-D9D82_S78_E1-50,0.46316536,NA,78244,12461,8300,Exc L3-5 RORB ESR1,exc
F1S4_170302_086_E01,SM-D9D82_S93_E1-50,0.467919593,NA,75833,12987,8707,Exc L3-5 RORB ESR1,exc
F1S4_170302_094_B01,SM-D9D89_S18_E1-50,0.459682895,NA,45782,9362,8574,Exc L3-5 RORB ESR1,exc
F1S4_170302_100_C01,SM-D9D8A_S35_E1-50,0.462426025,NA,66664,9619,8415,Exc L3-5 RORB ESR1,exc
F1S4_170302_113_B01,SM-D9D88_S66_E1-50,0.461649977,NA,68572,10646,7952,Exc L3-5 RORB ESR1,exc
F1S4_170321_052_D01,SM-D9D8X_S44_E1-50,0.464369715,2894,50848,11031,4907,Exc L3-5 RORB ESR1,exc
F1S4_170117_068_B01,SM-D9CZX_S42_E1-50,0.626440819,715,44501,12328,8643,Exc L4-6 RORB SEMA3E,exc
F1S4_170118_105_B01,SM-D9CZN_S66_E1-50,0.642041664,3167,60956,9515,10557,Exc L4-6 RORB SEMA3E,exc
F1S4_170118_113_F01,SM-D9CZV_S38_E1-50,0.625899273,3821,54436,9862,11142,Exc L4-6 RORB SEMA3E,exc
F1S4_170125_096_B01,SM-D9D6V_S50_E1-50,0.649188316,1911,54842,13675,10073,Exc L4-6 RORB SEMA3E,exc
F1S4_170125_101_B01,SM-D9D6X_S42_E1-50,0.638586191,1829,50311,10375,9452,Exc L4-6 RORB SEMA3E,exc
F1S4_170125_102_E01,SM-D9CZH_S69_E1-50,0.627668312,2321,57727,14121,9415,Exc L4-6 RORB SEMA3E,exc
F1S4_170125_114_C01,SM-D9D6Y_S67_E1-50,0.625920345,2151,56143,10226,9525,Exc L4-6 RORB SEMA3E,exc
F1S4_170302_096_E01,SM-D9D89_S37_E1-50,0.631130738,NA,62713,12926,8089,Exc L4-6 RORB SEMA3E,exc
F1S4_170118_110_F01,SM-D9CZU_S38_E1-50,0.500086897,5051,75142,16734,13204,Exc L4-5 RORB FOLH1B,exc
F1S4_170118_140_C01,SM-D9CZV_S67_E1-50,0.509774861,5759,87862,20115,10864,Exc L4-5 RORB FOLH1B,exc
F1S4_170302_097_C01,SM-D9D89_S43_E1-50,0.495120968,NA,100594,21036,8711,Exc L4-5 RORB FOLH1B,exc
F1S4_170321_130_A01,SM-D9D9F_S41_E1-50,0.515693819,6337,86430,27535,4766,Exc L4-5 RORB FOLH1B,exc
F1S4_170125_010_G01,SM-D9CZY_S31_E1-50,0.580905934,687,58639,14187,9886,Inh L2-4 SST FRZB,inh
F1S4_170125_048_A01,SM-D9D17_S49_E1-50,0.642471848,779,48023,12020,7766,Inh L2-4 SST FRZB,inh
F1S4_170125_067_B01,SM-D9D7E_S26_E1-50,0.608888823,1848,57663,16837,10202,Inh L2-4 SST FRZB,inh
F1S4_170207_048_G01,SM-D9D7J_S79_E1-50,0.493257171,1456,58535,10327,10125,Inh L2-4 SST FRZB,inh
F1S4_170323_058_E01,SM-D9E5I_S69_E1-50,0.456542809,3105,47065,21638,5240,Inh L2-4 SST FRZB,inh
F1S4_170323_061_C01,SM-D9D8U_S83_E1-50,0.545448852,2592,54677,16877,4228,Inh L2-4 SST FRZB,inh
F1S4_170406_116_C01,SM-D9E5L_S83_E1-50,0.620966156,NA,NA,NA,NA,Inh L2-4 SST FRZB,inh
F1S4_170118_137_G01,SM-D9CZU_S71_E1-50,0.603352417,4847,110160,23049,10120,Exc L5-6 THEMIS C1QL3,exc
F1S4_170118_143_A01,SM-D9CZW_S73_E1-50,0.60139314,5663,54914,14585,10831,Exc L5-6 THEMIS C1QL3,exc
F1S4_170118_147_B01,SM-D9D73_S10_E1-50,0.605058148,6930,100021,21061,10932,Exc L5-6 THEMIS C1QL3,exc
F1S4_170321_132_C01,SM-D9E4L_S03_E1-50,0.607120337,8747,92935,35998,5047,Exc L5-6 THEMIS C1QL3,exc
F1S4_170118_135_B01,SM-D9CZU_S50_E1-50,0.747114005,1964,44782,11663,9739,Exc L5-6 FEZF2 ABO,exc
F1S4_170118_137_C01,SM-D9CZU_S67_E1-50,0.744660881,3078,67636,14198,10473,Exc L5-6 FEZF2 ABO,exc
F1S4_170118_152_E01,SM-D9D15_S29_E1-50,0.751729011,4851,83333,14421,10150,Exc L5-6 FEZF2 ABO,exc
F1S4_170125_111_G01,SM-D9D6X_S63_E1-50,0.743264103,NA,NA,NA,NA,Exc L5-6 FEZF2 ABO,exc
F1S4_170215_160_C01,SM-D9E5Y_S11_E1-50,0.761728446,NA,NA,NA,NA,Exc L5-6 FEZF2 ABO,exc
F1S4_170323_149_D01,SM-D9D99_S28_E1-50,0.751338143,3169,39011,10926,5270,Exc L5-6 FEZF2 ABO,exc
F1S4_170117_046_F01,SM-D9D6X_S22_E1-50,0.393146775,938,45801,12248,9444,Exc L3-5 RORB FILIP1L,exc
F1S4_170117_047_G01,SM-D9D6Y_S07_E1-50,0.334045693,2884,67249,14039,9266,Exc L3-5 RORB FILIP1L,exc
F1S4_170125_097_B01,SM-D9D6V_S66_E1-50,0.432658589,1949,67126,9392,9776,Exc L3-5 RORB FILIP1L,exc
F1S4_170222_109_A01,SM-D9D83_S41_E1-50,0.450964515,2093,44600,19943,10506,Exc L3-5 RORB FILIP1L,exc
F1S4_170222_111_G01,SM-D9D83_S63_E1-50,0.404453945,2318,56119,14113,10146,Exc L3-5 RORB FILIP1L,exc
F1S4_170302_085_C01,SM-D9D82_S83_E1-50,0.365962762,NA,60599,41698,9187,Exc L3-5 RORB FILIP1L,exc
F1S4_170321_064_F01,SM-D9E5M_S06_E1-50,0.46513567,3316,84547,29063,5760,Exc L3-5 RORB FILIP1L,exc
F1S4_170321_065_G01,SM-D9E5M_S15_E1-50,0.334308388,3601,48553,19380,5711,Exc L3-5 RORB FILIP1L,exc
F1S4_170419_036_B01,SM-D9EQ7_S58_E1-50,0.368745777,NA,NA,NA,NA,Exc L3-5 RORB FILIP1L,exc
F1S4_170125_048_G01,SM-D9D17_S55_E1-50,0.564534056,974,50373,11020,8234,Exc L3-4 RORB CARM1P1,exc
F1S4_170125_051_B01,SM-D9D6Q_S66_E1-50,0.583866504,4062,87342,16801,9484,Exc L3-4 RORB CARM1P1,exc
F1S4_170207_043_G01,SM-D9D7I_S63_E1-50,0.558976821,NA,NA,NA,NA,Exc L3-4 RORB CARM1P1,exc
F1S4_170222_082_E01,SM-D9D7R_S61_E1-50,0.557425841,2710,42764,12430,8834,Exc L3-4 RORB CARM1P1,exc
F1S4_170222_085_C01,SM-D9D7S_S51_E1-50,0.546677495,4698,35257,13314,9670,Exc L3-4 RORB CARM1P1,exc
F1S4_170222_094_G01,SM-D9D7U_S79_E1-50,0.573763873,3743,85253,15460,12033,Exc L3-4 RORB CARM1P1,exc
F1S4_170321_071_A01,SM-D9E58_S17_E1-50,0.542824452,3450,66043,18407,5307,Exc L3-4 RORB CARM1P1,exc
F1S4_170323_045_E01,SM-D9E4P_S29_E1-50,0.563909142,5795,54184,20864,4977,Exc L3-4 RORB CARM1P1,exc
F1S4_170215_124_C01,SM-D9D6T_S83_E1-50,0.661769161,2205,36076,8121,10831,Exc L5-6 FEZF2 EFTUD1P1,exc
F1S4_170321_118_G01,SM-D9D94_S31_E1-50,0.664525742,4014,50204,24329,4624,Exc L5-6 FEZF2 EFTUD1P1,exc
F1S4_170321_121_A01,SM-D9D95_S33_E1-50,0.668309494,5093,62377,30508,4644,Exc L5-6 FEZF2 EFTUD1P1,exc
F1S4_170321_151_D01,SM-D9E5I_S20_E1-50,0.668332416,4545,41065,19767,6734,Exc L5-6 FEZF2 EFTUD1P1,exc
F1S4_170321_152_E01,SM-D9E5I_S29_E1-50,0.657115314,5558,75433,34651,6722,Exc L5-6 FEZF2 EFTUD1P1,exc
F1S4_170117_049_D01,SM-D9D6Y_S20_E1-50,0.650294624,2797,69303,14845,8853,Exc L4-6 FEZF2 IL26,exc
F1S4_170118_141_C01,SM-D9CZW_S59_E1-50,0.62464294,2180,60835,9289,8717,Exc L4-6 FEZF2 IL26,exc
F1S4_170118_146_D01,SM-D9CZX_S92_E1-50,0.629154121,1925,78437,11027,9419,Exc L4-6 FEZF2 IL26,exc
F1S4_170118_149_C01,SM-D9D73_S27_E1-50,0.640703872,3473,72771,13658,9010,Exc L4-6 FEZF2 IL26,exc
F1S4_170118_155_G01,SM-D9D16_S07_E1-50,0.638295645,2328,67877,13858,9401,Exc L4-6 FEZF2 IL26,exc
